id,phone_name,storage_capacity,price,condition,status
1,IPhone XS Max,64GB,1160,New,Unlocked
2,IPhone XS Max,64GB,1155,A1,Unlocked
3,IPhone XS Max,64GB,1150,A2,Unlocked
4,IPhone XS Max,64GB,1145,B1,Unlocked
5,IPhone XS Max,64GB,1140,B2,Unlocked
6,IPhone XS Max,64GB,1135,C,Unlocked
7,IPhone XS Max,64GB,1130,C/B,Unlocked
8,IPhone XS Max,64GB,1125,C/D,Unlocked
9,IPhone XS Max,256GB,1180,New,Unlocked
10,IPhone XS Max,256GB,1175,A1,Unlocked
11,IPhone XS Max,256GB,1170,A2,Unlocked
12,IPhone XS Max,256GB,1165,B1,Unlocked
13,IPhone XS Max,256GB,1160,B2,Unlocked
14,IPhone XS Max,256GB,1155,C,Unlocked
15,IPhone XS Max,256GB,1150,C/B,Unlocked
16,IPhone XS Max,256GB,1145,C/D,Unlocked
17,IPhone XS Max,512GB,1200,New,Unlocked
18,IPhone XS Max,512GB,1195,A1,Unlocked
19,IPhone XS Max,512GB,1190,A2,Unlocked
20,IPhone XS Max,512GB,1185,B1,Unlocked
21,IPhone XS Max,512GB,1180,B2,Unlocked
22,IPhone XS Max,512GB,1175,C,Unlocked
23,IPhone XS Max,512GB,1170,C/B,Unlocked
24,IPhone XS Max,512GB,1165,C/D,Unlocked
25,IPhone XS,64GB,1060,New,Unlocked
26,IPhone XS,64GB,1055,A1,Unlocked
27,IPhone XS,64GB,1050,A2,Unlocked
28,IPhone XS,64GB,1045,B1,Unlocked
29,IPhone XS,64GB,1040,B2,Unlocked
30,IPhone XS,64GB,1035,C,Unlocked
31,IPhone XS,64GB,1030,C/B,Unlocked
32,IPhone XS,64GB,1025,C/D,Unlocked
33,IPhone XS,256GB,1080,New,Unlocked
34,IPhone XS,256GB,1075,A1,Unlocked
35,IPhone XS,256GB,1070,A2,Unlocked
36,IPhone XS,256GB,1065,B1,Unlocked
37,IPhone XS,256GB,1060,B2,Unlocked
38,IPhone XS,256GB,1055,C,Unlocked
39,IPhone XS,256GB,1050,C/B,Unlocked
40,IPhone XS,256GB,1045,C/D,Unlocked
41,IPhone XS,512GB,1100,New,Unlocked
42,IPhone XS,512GB,1095,A1,Unlocked
43,IPhone XS,512GB,1090,A2,Unlocked
44,IPhone XS,512GB,1085,B1,Unlocked
45,IPhone XS,512GB,1080,B2,Unlocked
46,IPhone XS,512GB,1075,C,Unlocked
47,IPhone XS,512GB,1070,C/B,Unlocked
48,IPhone XS,512GB,1065,C/D,Unlocked
49,IPhone XR,64GB,960,New,Unlocked
50,IPhone XR,64GB,955,A1,Unlocked
51,IPhone XR,64GB,950,A2,Unlocked
52,IPhone XR,64GB,945,B1,Unlocked
53,IPhone XR,64GB,940,B2,Unlocked
54,IPhone XR,64GB,935,C,Unlocked
55,IPhone XR,64GB,930,C/B,Unlocked
56,IPhone XR,64GB,925,C/D,Unlocked
57,IPhone XR,128GB,980,New,Unlocked
58,IPhone XR,128GB,975,A1,Unlocked
59,IPhone XR,128GB,970,A2,Unlocked
60,IPhone XR,128GB,965,B1,Unlocked
61,IPhone XR,128GB,960,B2,Unlocked
62,IPhone XR,128GB,955,C,Unlocked
63,IPhone XR,128GB,950,C/B,Unlocked
64,IPhone XR,128GB,945,C/D,Unlocked
65,IPhone XR,256GB,1000,New,Unlocked
66,IPhone XR,256GB,995,A1,Unlocked
67,IPhone XR,256GB,990,A2,Unlocked
68,IPhone XR,256GB,985,B1,Unlocked
69,IPhone XR,256GB,980,B2,Unlocked
70,IPhone XR,256GB,975,C,Unlocked
71,IPhone XR,256GB,970,C/B,Unlocked
72,IPhone XR,256GB,965,C/D,Unlocked
73,IPhone X,64GB,880,New,Unlocked
74,IPhone X,64GB,875,A1,Unlocked
75,IPhone X,64GB,870,A2,Unlocked
76,IPhone X,64GB,865,B1,Unlocked
77,IPhone X,64GB,860,B2,Unlocked
78,IPhone X,64GB,855,C,Unlocked
79,IPhone X,64GB,850,C/B,Unlocked
80,IPhone X,64GB,845,C/D,Unlocked
81,IPhone X,256GB,900,New,Unlocked
82,IPhone X,256GB,895,A1,Unlocked
83,IPhone X,256GB,890,A2,Unlocked
84,IPhone X,256GB,885,B1,Unlocked
85,IPhone X,256GB,880,B2,Unlocked
86,IPhone X,256GB,875,C,Unlocked
87,IPhone X,256GB,870,C/B,Unlocked
88,IPhone X,256GB,865,C/D,Unlocked
89,IPhone 8 PLUS,64GB,780,New,Unlocked
90,IPhone 8 PLUS,64GB,775,A1,Unlocked
91,IPhone 8 PLUS,64GB,770,A2,Unlocked
92,IPhone 8 PLUS,64GB,765,B1,Unlocked
93,IPhone 8 PLUS,64GB,760,B2,Unlocked
94,IPhone 8 PLUS,64GB,755,C,Unlocked
95,IPhone 8 PLUS,64GB,750,C/B,Unlocked
96,IPhone 8 PLUS,64GB,745,C/D,Unlocked
97,IPhone 8 PLUS,256GB,800,New,Unlocked
98,IPhone 8 PLUS,256GB,795,A1,Unlocked
99,IPhone 8 PLUS,256GB,790,A2,Unlocked
100,IPhone 8 PLUS,256GB,785,B1,Unlocked
101,IPhone 8 PLUS,256GB,780,B2,Unlocked
102,IPhone 8 PLUS,256GB,775,C,Unlocked
103,IPhone 8 PLUS,256GB,770,C/B,Unlocked
104,IPhone 8 PLUS,256GB,765,C/D,Unlocked
105,IPhone 8,64GB,680,New,Unlocked
106,IPhone 8,64GB,675,A1,Unlocked
107,IPhone 8,64GB,670,A2,Unlocked
108,IPhone 8,64GB,665,B1,Unlocked
109,IPhone 8,64GB,660,B2,Unlocked
110,IPhone 8,64GB,655,C,Unlocked
111,IPhone 8,64GB,650,C/B,Unlocked
112,IPhone 8,64GB,645,C/D,Unlocked
113,IPhone 8,256GB,700,New,Unlocked
114,IPhone 8,256GB,695,A1,Unlocked
115,IPhone 8,256GB,690,A2,Unlocked
116,IPhone 8,256GB,685,B1,Unlocked
117,IPhone 8,256GB,680,B2,Unlocked
118,IPhone 8,256GB,675,C,Unlocked
119,IPhone 8,256GB,670,C/B,Unlocked
120,IPhone 8,256GB,665,C/D,Unlocked
121,IPhone 7 PLUS,32GB,560,New,Unlocked
122,IPhone 7 PLUS,32GB,555,A1,Unlocked
123,IPhone 7 PLUS,32GB,550,A2,Unlocked
124,IPhone 7 PLUS,32GB,545,B1,Unlocked
125,IPhone 7 PLUS,32GB,540,B2,Unlocked
126,IPhone 7 PLUS,32GB,535,C,Unlocked
127,IPhone 7 PLUS,32GB,530,C/B,Unlocked
128,IPhone 7 PLUS,32GB,525,C/D,Unlocked
129,IPhone 7 PLUS,128GB,580,New,Unlocked
130,IPhone 7 PLUS,128GB,575,A1,Unlocked
131,IPhone 7 PLUS,128GB,570,A2,Unlocked
132,IPhone 7 PLUS,128GB,565,B1,Unlocked
133,IPhone 7 PLUS,128GB,560,B2,Unlocked
134,IPhone 7 PLUS,128GB,555,C,Unlocked
135,IPhone 7 PLUS,128GB,550,C/B,Unlocked
136,IPhone 7 PLUS,128GB,545,C/D,Unlocked
137,IPhone 7 PLUS,256GB,600,New,Unlocked
138,IPhone 7 PLUS,256GB,595,A1,Unlocked
139,IPhone 7 PLUS,256GB,590,A2,Unlocked
140,IPhone 7 PLUS,256GB,585,B1,Unlocked
141,IPhone 7 PLUS,256GB,580,B2,Unlocked
142,IPhone 7 PLUS,256GB,575,C,Unlocked
143,IPhone 7 PLUS,256GB,570,C/B,Unlocked
144,IPhone 7 PLUS,256GB,565,C/D,Unlocked
145,IPhone 7 ,32GB,460,New,Unlocked
146,IPhone 7 ,32GB,455,A1,Unlocked
147,IPhone 7,32GB,450,A2,Unlocked
148,IPhone 7,32GB,445,B1,Unlocked
149,IPhone 7,32GB,440,B2,Unlocked
150,IPhone 7,32GB,435,C,Unlocked
151,IPhone 7,32GB,430,C/B,Unlocked
152,IPhone 7,32GB,425,C/D,Unlocked
153,IPhone 7,128GB,480,New,Unlocked
154,IPhone 7,128GB,475,A1,Unlocked
155,IPhone 7,128GB,470,A2,Unlocked
156,IPhone 7,128GB,465,B1,Unlocked
157,IPhone 7,128GB,460,B2,Unlocked
158,IPhone 7,128GB,455,C,Unlocked
159,IPhone 7,128GB,450,C/B,Unlocked
160,IPhone 7,128GB,445,C/D,Unlocked
161,IPhone 7,256GB,500,New,Unlocked
162,IPhone 7,256GB,495,A1,Unlocked
163,IPhone 7,256GB,490,A2,Unlocked
164,IPhone 7,256GB,485,B1,Unlocked
165,IPhone 7,256GB,480,B2,Unlocked
166,IPhone 7,256GB,475,C,Unlocked
167,IPhone 7,256GB,470,C/B,Unlocked
168,IPhone 7,256GB,465,C/D,Unlocked
169,IPhone 6S PLUS,16GB,370,New,Unlocked
170,IPhone 6S PLUS,16GB,365,A1,Unlocked
171,IPhone 6S PLUS,16GB,360,A2,Unlocked
172,IPhone 6S PLUS,16GB,355,B1,Unlocked
173,IPhone 6S PLUS,16GB,350,B2,Unlocked
174,IPhone 6S PLUS,16GB,345,C,Unlocked
175,IPhone 6S PLUS,16GB,340,C/B,Unlocked
176,IPhone 6S PLUS,16GB,335,C/D,Unlocked
177,IPhone 6S PLUS,32GB,380,New,Unlocked
178,IPhone 6S PLUS,32GB,375,A1,Unlocked
179,IPhone 6S PLUS,32GB,370,A2,Unlocked
180,IPhone 6S PLUS,32GB,365,B1,Unlocked
181,IPhone 6S PLUS,32GB,360,B2,Unlocked
182,IPhone 6S PLUS,32GB,355,C,Unlocked
183,IPhone 6S PLUS,32GB,350,C/B,Unlocked
184,IPhone 6S PLUS,32GB,345,C/D,Unlocked
185,IPhone 6S PLUS,64GB,390,New,Unlocked
186,IPhone 6S PLUS,64GB,385,A1,Unlocked
187,IPhone 6S PLUS,64GB,380,A2,Unlocked
188,IPhone 6S PLUS,64GB,375,B1,Unlocked
189,IPhone 6S PLUS,64GB,370,B2,
190,IPhone 6S PLUS,64GB,365,C,Unlocked
191,IPhone 6S PLUS,64GB,360,C/B,Unlocked
192,IPhone 6S PLUS,64GB,355,C/D,Unlocked
193,IPhone 6S PLUS,128GB,400,New,Unlocked
194,IPhone 6S PLUS,128GB,395,A1,Unlocked
195,IPhone 6S PLUS,128GB,390,A2,Unlocked
196,IPhone 6S PLUS,128GB,385,B1,Unlocked
197,IPhone 6S PLUS,128GB,380,B2,Unlocked
198,IPhone 6S PLUS,128GB,375,C,Unlocked
199,IPhone 6S PLUS,128GB,370,C/B,Unlocked
200,IPhone 6S PLUS,128GB,365,C/D,Unlocked
201,IPhone 6S,16GB,270,New,Unlocked
202,IPhone 6S,16GB,265,A1,Unlocked
203,IPhone 6S,16GB,260,A2,Unlocked
204,IPhone 6S,16GB,255,B1,Unlocked
205,IPhone 6S,16GB,250,B2,Unlocked
206,IPhone 6S,16GB,245,C,Unlocked
207,IPhone 6S,16GB,240,C/B,Unlocked
208,IPhone 6S,16GB,235,C/D,Unlocked
209,IPhone 6S,32GB,280,New,Unlocked
210,IPhone 6S,32GB,275,A1,Unlocked
211,IPhone 6S,32GB,270,A2,Unlocked
212,IPhone 6S,32GB,265,B1,Unlocked
213,IPhone 6S,32GB,260,B2,Unlocked
214,IPhone 6S,32GB,255,C,Unlocked
215,IPhone 6S,32GB,250,C/B,Unlocked
216,IPhone 6S,32GB,245,C/D,Unlocked
217,IPhone 6S,64GB,290,New,Unlocked
218,IPhone 6S,64GB,285,A1,Unlocked
219,IPhone 6S,64GB,280,A2,Unlocked
220,IPhone 6S,64GB,275,B1,Unlocked
221,IPhone 6S,64GB,270,B2,Unlocked
222,IPhone 6S,64GB,265,C,Unlocked
223,IPhone 6S,64GB,260,C/B,Unlocked
224,IPhone 6S,64GB,255,C/D,Unlocked
225,IPhone 6S,128GB,300,New,Unlocked
226,IPhone 6S,128GB,295,A1,Unlocked
227,IPhone 6S,128GB,290,A2,Unlocked
